Issue,Date,works,author groups,collaborations,collaborated pieces,collab percentage of works,cumulative works,editors,editor works,editor percentage of works,theme
1,Spring 2018,9,6,0,0,0.0000000,9,4,7,0.77777778,a minimal labyrinth
2,Fall 2018,18,15,0,0,0.0000000,27,5,4,0.22222222,poems of two
3,Spring 2019,9,9,0,0,0.0000000,36,4,2,0.22222222,triptychs and triads
4,Spring 2020,8,6,1,1,0.1250000,44,3,0,0.00000000,a new trope
5,Fall 2020,17,18,2,2,0.1176471,61,5,3,0.17647059,pent up
6,Spring 2021,26,23,2,2,0.0769231,87,5,0,0.00000000,a throw of dice
7,Fall 2021,17,15,1,1,0.0588235,104,5,2,0.11764706,wonders
8,Spring 2022,24,18,4,5,0.2083333,128,6,1,0.04166667,8-bit nostalgia
,,,,,,,,,,,
,,,,,,,,,,,
,,128,110,10,11,,,,,,
